"LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","FirstFlrSF","SecondFlrSF","TotRmsAbvGrd","GarageArea","WoodDeckSF","ThreeSsnPorch","ScreenPorch","MoSold","Street_Grvl","Utilities_AllPub","Neighborhood_Edwards","Neighborhood_Mitchel","Neighborhood_NAmes","Neighborhood_NWAmes","Neighborhood_NoRidge","Neighborhood_OldTown","Neighborhood_StoneBr","Condition1_RRAe","Condition2_PosN","RoofStyle_Flat","RoofStyle_Gable","RoofStyle_Gambrel","RoofStyle_Hip","RoofStyle_Mansard","Exterior1st_BrkFace","ExterQual_Ex","Foundation_BrkTil","Foundation_CBlock","Foundation_PConc","BsmtQual_Ex","BsmtExposure_Gd","BsmtFinType1_LwQ","FullBath_1","FullBath_2"
11200,5,5,1965,1965,0,906,1040,0,5,384,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
11924,9,5,2005,2006,286,998,1182,1142,11,736,147,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
12968,5,6,1962,1962,0,737,912,0,4,352,140,0,176,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10652,7,5,2006,2007,306,0,1494,0,7,840,160,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10920,6,5,1960,1960,212,733,1253,0,5,352,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
6120,7,8,1929,2001,0,0,854,0,5,576,48,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11241,6,7,1970,1970,180,578,1004,0,5,480,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13695,5,5,2004,2004,0,646,1114,0,6,576,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7560,5,6,1958,1965,0,504,1339,0,6,294,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
14215,8,5,2005,2006,380,0,1158,1218,9,853,240,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7449,7,7,1930,1950,0,0,1108,0,6,280,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
9742,8,5,2002,2002,281,0,1795,0,7,534,171,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4224,5,7,1976,1976,0,840,1060,0,6,572,100,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8246,5,8,1968,2001,0,188,1060,0,6,270,406,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
14230,8,5,2007,2007,640,0,1600,0,7,890,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7200,5,7,1951,2000,0,234,900,0,5,576,222,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
11478,8,5,2007,2008,200,1218,1704,0,7,772,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
16321,5,6,1957,1997,0,1277,1600,0,6,319,288,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
6324,4,6,1927,1950,0,0,520,0,4,240,49,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
8500,4,4,1920,1950,0,0,649,668,6,250,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
8544,5,6,1966,2006,0,0,1228,0,6,271,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
11049,8,5,2007,2007,0,0,1234,0,7,484,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
10552,5,5,1959,1959,0,1018,1700,0,6,447,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
7313,9,5,2005,2005,246,1153,1561,0,6,556,203,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
13418,8,5,2004,2005,132,0,1132,1320,9,691,113,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
10859,5,5,1994,1995,0,0,1097,0,6,672,392,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8532,5,6,1954,1990,650,1213,1297,0,5,498,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7922,5,7,1953,2007,0,731,1057,0,5,246,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8658,6,5,1965,1965,101,643,1324,0,6,440,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
16905,5,6,1959,1959,0,967,1328,0,5,308,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
9180,5,7,1983,1983,0,747,884,0,5,504,240,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
9200,5,6,1975,1980,0,280,938,0,5,308,145,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
7945,5,6,1959,1959,0,179,1150,0,6,300,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
7658,9,5,2005,2005,412,456,1752,0,6,576,196,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
12822,7,5,2003,2003,0,1351,1518,631,6,670,168,0,198,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
11096,8,5,2006,2006,0,24,1656,0,7,826,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4456,4,5,1920,2008,0,0,736,716,8,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7742,5,7,1966,1966,0,763,955,0,6,386,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13869,6,6,1997,1997,0,182,794,676,6,388,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6240,6,6,1934,1950,0,0,816,0,6,528,112,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8472,5,5,1963,1963,0,104,816,0,5,516,106,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
50271,9,5,1981,1987,0,1810,1842,0,5,894,857,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7134,5,5,1955,1955,0,384,1360,0,6,572,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
10175,6,5,1964,1964,272,490,1425,0,7,576,0,407,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2645,8,5,1999,2000,456,649,983,756,7,480,115,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11645,7,5,2004,2004,0,0,860,860,7,565,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
13682,10,5,2006,2006,1031,0,1426,1519,10,641,192,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
7200,5,7,1972,1972,0,632,780,0,4,352,196,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13072,6,5,2004,2004,0,941,1158,0,5,576,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7200,5,7,1920,1996,0,0,581,530,6,288,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6442,8,5,2006,2006,178,24,1370,0,6,484,120,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10300,7,6,1921,1950,0,0,902,808,9,480,12,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
9375,7,5,1997,1998,573,739,1057,977,8,645,576,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9591,8,5,2004,2005,344,0,1143,1330,9,852,192,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
19900,7,5,1970,1989,287,912,2207,0,7,576,301,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
10665,7,5,2003,2003,167,1013,1479,0,7,558,144,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4608,4,6,1945,1950,0,0,747,0,4,220,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
15593,7,4,1953,1953,0,603,1304,983,7,667,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
13651,7,6,1973,1973,1115,1880,2223,0,8,516,300,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
7599,4,6,1982,2006,0,565,845,0,4,360,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
10141,7,5,1998,1998,40,0,885,833,7,427,0,0,291,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10200,5,7,1954,2003,104,320,1086,0,6,490,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5790,3,6,1915,1950,0,0,840,765,8,379,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1596,4,5,1973,1973,0,462,526,462,5,297,120,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
8475,4,7,1956,1956,0,228,952,0,4,283,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8635,5,5,1948,2001,0,336,1072,213,6,240,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
10778,4,5,1968,1968,0,0,1768,0,8,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
10440,5,6,1910,1981,0,0,682,548,5,440,74,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
13000,6,6,1968,1968,576,448,1182,960,8,509,0,0,252,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4500,6,5,1998,1998,443,1201,1337,0,5,405,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
10206,8,5,2007,2007,468,33,1563,0,6,758,144,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8892,5,5,1960,1960,66,0,1065,0,6,461,74,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8530,7,5,1995,1996,22,0,804,670,7,400,120,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
16059,8,5,1991,1992,284,0,1301,1116,9,462,127,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11911,6,5,2005,2005,0,0,684,876,6,400,100,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3951,6,5,2009,2009,76,0,612,612,4,528,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8470,3,2,1915,1982,0,0,1013,0,6,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
8070,4,5,1994,1995,0,588,990,0,5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8500,5,3,1961,1961,203,600,1235,0,6,480,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
13360,5,7,1921,2006,0,713,964,0,5,432,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7200,6,6,1910,1998,0,1046,1260,1031,9,506,0,0,99,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9337,6,5,1997,1997,0,648,905,881,7,684,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9765,6,8,1993,1993,68,310,680,790,6,420,232,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
10264,7,5,1999,1999,183,1162,1588,0,6,472,158,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10921,4,5,1965,1965,48,520,960,0,6,432,120,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10625,5,5,1920,1950,0,108,835,0,5,366,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9320,4,5,1959,1959,0,569,1225,0,6,0,352,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
10603,6,7,1977,2001,28,1200,1610,0,6,480,168,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9206,6,5,1985,1985,336,0,977,755,7,476,192,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10402,7,5,2009,2009,0,0,1226,0,6,740,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7758,7,4,1931,1950,600,224,1226,592,7,240,0,0,184,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
9375,8,5,2003,2004,768,0,1053,939,9,648,140,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
10800,4,7,1885,1995,0,0,1047,0,6,273,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
6000,5,5,1948,1950,0,104,789,0,5,250,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8500,5,7,1919,2005,0,0,997,520,7,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11751,6,6,1977,1977,480,705,1844,0,7,546,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
9525,6,4,1954,1972,0,444,1216,639,7,325,182,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7750,7,5,2000,2000,0,250,774,656,7,400,180,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9965,7,5,2007,2007,220,984,1282,1414,10,792,120,0,168,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
21000,6,5,1953,1953,184,35,2259,0,7,450,166,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
7259,6,8,1945,2002,0,774,1436,884,9,180,224,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3230,6,5,1999,1999,1129,419,729,729,5,440,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11616,5,5,1962,1962,116,170,1092,0,6,288,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
8536,5,5,2006,2007,0,0,1125,0,5,430,80,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
12376,7,5,1990,1990,0,1470,1699,1523,11,594,367,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8461,6,5,2005,2006,0,0,728,728,8,390,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
21453,6,5,1969,1969,0,938,988,0,4,540,0,130,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6060,4,5,1939,1950,0,0,772,351,4,264,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
9464,6,7,1958,1958,135,570,1080,0,5,288,0,0,130,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7892,6,5,1993,1993,0,300,1199,0,5,530,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
17043,6,5,1979,1998,0,0,1586,0,7,435,192,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6780,6,8,1935,1982,0,490,520,0,5,0,53,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4928,6,5,1976,1976,0,120,958,0,5,440,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4388,5,7,1930,1950,0,116,840,0,5,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
7590,6,5,1966,1966,266,512,660,688,6,453,188,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8973,5,7,1958,1991,85,567,1053,0,6,750,0,180,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
14200,7,6,1966,1966,309,445,1216,941,8,487,105,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
12224,6,5,2000,2000,40,695,1022,1032,7,390,24,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7388,5,6,1959,2002,0,405,1327,0,7,624,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6853,8,5,2001,2002,136,1005,1296,0,6,471,192,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
10335,5,6,1968,1993,0,570,1721,0,7,440,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10400,7,6,1970,1970,288,0,1682,0,7,530,98,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
10355,5,5,1967,1967,196,695,1214,0,5,318,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
11070,7,5,1988,1989,70,0,1959,0,9,766,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9066,8,5,1999,2000,320,668,1004,848,7,660,224,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
15426,6,5,1997,1997,0,821,928,836,7,470,276,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10500,4,5,1971,1971,0,432,864,0,5,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
11645,7,5,2005,2005,0,1300,1734,0,7,660,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8520,5,4,1952,1952,0,507,910,475,6,720,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
10335,7,5,1999,1999,183,679,1501,0,6,577,144,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
9100,5,5,1963,1963,336,1332,1728,0,10,504,0,0,0,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2522,6,5,2004,2006,50,0,970,739,7,380,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6120,5,7,1931,1993,0,209,875,0,5,180,48,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9505,7,5,2001,2001,180,0,884,1151,8,434,144,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
7500,7,5,2004,2005,120,680,1080,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6240,5,4,1936,1950,0,0,896,448,7,240,200,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10356,5,6,1975,1975,0,716,969,0,5,440,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13891,8,5,2007,2008,436,1400,1710,0,6,866,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
14803,6,5,1971,1971,252,416,1097,896,8,495,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
13500,6,7,1960,1975,0,429,1252,0,4,564,409,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
11340,6,5,1923,1950,0,0,1200,0,7,312,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9600,6,5,1924,1950,0,0,572,524,5,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
12003,8,5,2009,2010,84,0,774,1194,8,680,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
